region,in_current_catalogue,recommended_candidate,group,regional_rank,taxon_id,common_name,scientific_name,observation_count,proposed_frequency_rarity,current_editorial_rarity,current_prestige,model_version,review_action
mediterranean_europe,yes,yes,birds,324,4626,Common Loon,Gavia immer,341,rare,rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,325,4623,Arctic Loon,Gavia arctica,339,rare,rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,326,367571,Mitred Parakeet,Psittacara mitratus,339,rare,rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,327,7089,Canada Goose,Branta canadensis,335,rare,rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,328,12054,Lesser Grey Shrike,Lanius minor,331,rare,rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,329,9203,Black-headed Bunting,Emberiza melanocephala,328,rare,rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,330,144221,Common Scoter,Melanitta nigra,328,rare,rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,331,6612,Little Swift,Apus affinis,317,rare,rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,332,5192,Long-legged Buzzard,Buteo rufinus,316,rare,rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,333,72572,Trumpeter Finch,Bucanetes githagineus,314,rare,rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,334,831,Gray Partridge,Perdix perdix,314,rare,rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,335,792985,Middle Spotted Woodpecker,Dendrocoptes medius,313,rare,rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,336,4788,Eurasian Dotterel,Eudromias morinellus,308,rare,rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,337,4109,Yelkouan Shearwater,Puffinus yelkouan,301,rare,rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
